SALT LAKE CITY INTERNATIONAL AIRPORT,07/19/21,89
SALT LAKE CITY INTERNATIONAL AIRPORT,07/20/21,84
SALT LAKE CITY INTERNATIONAL AIRPORT,07/21/21,86
SALT LAKE CITY INTERNATIONAL AIRPORT,07/22/21,87
SALT LAKE CITY INTERNATIONAL AIRPORT,07/23/21,81
SALT LAKE CITY INTERNATIONAL AIRPORT,07/24/21,83
SALT LAKE CITY INTERNATIONAL AIRPORT,07/25/21,85
SALT LAKE CITY INTERNATIONAL AIRPORT,07/26/21,84
SALT LAKE CITY INTERNATIONAL AIRPORT,07/27/21,85
SALT LAKE CITY INTERNATIONAL AIRPORT,07/28/21,85
SALT LAKE CITY INTERNATIONAL AIRPORT,07/29/21,81
SALT LAKE CITY INTERNATIONAL AIRPORT,07/30/21,80
SALT LAKE CITY INTERNATIONAL AIRPORT,07/31/21,82
SALT LAKE CITY INTERNATIONAL AIRPORT,08/01/21,80
SALT LAKE CITY INTERNATIONAL AIRPORT,08/02/21,71
SALT LAKE CITY INTERNATIONAL AIRPORT,08/03/21,75
SALT LAKE CITY INTERNATIONAL AIRPORT,08/04/21,79
SALT LAKE CITY INTERNATIONAL AIRPORT,08/05/21,85
SALT LAKE CITY INTERNATIONAL AIRPORT,08/06/21,86
SALT LAKE CITY INTERNATIONAL AIRPORT,08/07/21,73
SALT LAKE CITY INTERNATIONAL AIRPORT,08/08/21,80
SALT LAKE CITY INTERNATIONAL AIRPORT,08/09/21,80
SALT LAKE CITY INTERNATIONAL AIRPORT,08/10/21,76
SALT LAKE CITY INTERNATIONAL AIRPORT,08/11/21,78
SALT LAKE CITY INTERNATIONAL AIRPORT,08/12/21,81
SALT LAKE CITY INTERNATIONAL AIRPORT,08/13/21,85
SALT LAKE CITY INTERNATIONAL AIRPORT,08/14/21,86
SALT LAKE CITY INTERNATIONAL AIRPORT,08/15/21,85
SALT LAKE CITY INTERNATIONAL AIRPORT,08/16/21,82
SALT LAKE CITY INTERNATIONAL AIRPORT,08/17/21,84
SALT LAKE CITY INTERNATIONAL AIRPORT,08/18/21,67
SALT LAKE CITY INTERNATIONAL AIRPORT,08/19/21,56
SALT LAKE CITY INTERNATIONAL AIRPORT,08/20/21,60
SALT LAKE CITY INTERNATIONAL AIRPORT,08/21/21,71
SALT LAKE CITY INTERNATIONAL AIRPORT,08/22/21,67
SALT LAKE CITY INTERNATIONAL AIRPORT,08/23/21,78
SALT LAKE CITY INTERNATIONAL AIRPORT,08/24/21,81
SALT LAKE CITY INTERNATIONAL AIRPORT,08/25/21,80
SALT LAKE CITY INTERNATIONAL AIRPORT,08/26/21,79
SALT LAKE CITY INTERNATIONAL AIRPORT,08/27/21,74
SALT LAKE CITY INTERNATIONAL AIRPORT,08/28/21,72
